% reduction,Hardness
1.98,83.5
1.98,81.1
1.98,83.1
8.42,71.1
8.42,79.1
8.42,83.4
19.8,83.8
19.8,72.9
19.8,83.7
38.61,73.3
38.61,84.9
38.61,81.7
56.44,86.5
56.44,82.9
56.44,86.4
0,85.3
0,84.5
0,84.6
5,85.1
5,83
5,85
9.52,85.4
9.52,84.9
9.52,84.8
0,85.3
0,85
0,85.6
6.25,86.1
6.25,85.8
6.25,84.4
8.85,85.8
8.85,86
8.85,85.1
20.83,85.6
20.83,85.2
20.83,85.6
39.58,86.5
39.58,84.6
39.58,86.2
60.94,87
60.94,87.5
60.94,87.3
