% reduction,Hardness
0,68.8
0,79.4
0,80.1
10,86.2
10,83.3
10,85.5
20,86.2
20,85
20,85.1
0,82
0,83.1
0,79
3.1,81.1
3.1,79.8
3.1,81.6
11.4,84.6
11.4,84.7
11.4,84.3
18.1,85.4
18.1,84.3
18.1,85.4
38.3,80.6
38.3,87.9
38.3,87.9
60.6,89
60.6,87.5
60.6,89
5.31,83.7
5.31,84.2
5.31,84.1
10.17,84.6
10.17,83.7
10.17,84.4
21.24,86
21.24,84.9
21.24,85.7
37.2,87.7
37.2,87.1
37.2,86.8
54.1,89
54.1,88.1
54.1,89
