% reduction,hardness
0,81.4
0,80.8
0,79.8
5,79.9
5,80.6
5,80.2
10,75.9
10,80.5
10,81.2
10,75.9
5.53,80.3
5.53,81.5
5.53,80.7
12.56,81.1
12.56,81.2
12.56,81
15.58,82
15.58,81.9
15.58,81
42.71,82.3
42.71,80.3
42.71,79.4
63.32,80.7
63.32,83.2
63.32,83
0,80.1
0,79.6
0,80.4
9.09,80.3
9.09,81
9.09,79.3
11.48,80.5
11.48,80
11.48,78.6
25.3,81.7
25.3,81.6
25.3,81.7
38.78,81.4
38.78,80.4
38.78,80.3
62.2,83.2
62.2,83.1
62.2,82.4
